choice,RT,p
1,750,0.00859217
1,400,0.0084941
-1,1980,0.00202468
1,2150,0.000872873
-1,1340,0.00176851
1,540,0.0142421
-1,1990,0.00115018
-1,4900,0.000148112
-1,2970,0.000212039
-1,360,0.00128776
-1,1480,0.00276107
-1,490,0.00969223
1,1510,0.00307278
-1,3970,4.08458e-05
1,530,0.00984732
1,1970,0.00204284
1,970,0.0051332
-1,610,0.00968908
-1,1450,0.000388191
-1,3380,0.000104494
1,1590,0.000343341
1,300,0.00234676
1,1000,0.00609333
-1,390,0.00827294
1,1090,0.00437233
1,1170,0.00410391
1,550,0.0140516
1,540,0.009858
1,1150,0.00480018
1,300,0.000875252
-1,1240,0.00387457
1,340,0.0129955
1,1650,0.00206446
-1,290,0.0101544
-1,680,0.00543019
-1,2880,0.000904601
1,1270,0.00377856
1,1450,0.00290572
-1,2850,0.00092924
-1,1480,0.00315451
1,2480,0.000883549
-1,1670,0.000319888
-1,960,0.00647564
-1,880,0.00727535
-1,390,0.0146298
-1,710,0.00541157
1,850,0.00513802
-1,1270,0.00393692
1,300,0.0108155
-1,560,0.0138506
1,5030,0.000131829
-1,1080,0.0044061
-1,650,0.0117581
-1,490,0.0149823
1,1190,0.00192326
1,880,0.00505374
-1,3200,0.00067915
1,390,0.00827295
1,440,0.015201
1,590,0.0131969
1,3460,0.000538039
1,460,0.00464111
-1,380,0.00141038
1,1040,0.00418806
1,1360,0.00350029
-1,1560,0.00294073
1,4410,0.000229731
-1,600,0.0129661
-1,460,0.00943828
1,3090,0.000606526
-1,2280,0.00099946
1,680,0.0110171
1,380,0.0143958
1,170,0.000246805
1,2880,0.000690401
1,710,0.0102828
1,1340,0.00170018
1,750,0.00536021
-1,790,0.00842968
-1,1390,0.00321716
1,2200,0.0016631
1,830,0.00778793
1,570,0.00212142
-1,850,0.00718678
-1,350,0.007193
1,490,0.00969224
1,170,0.000246805
-1,470,0.0151464
1,1820,0.00233536
1,620,0.00963685
1,920,0.00493334
1,1030,0.00208406
1,4460,0.000219668
-1,560,0.00525552
-1,1020,0.00460824
1,420,0.00422713
1,320,0.00271668
-1,1510,0.00307277
1,950,0.00215573
1,490,0.00969224
1,1200,0.00442214
1,640,0.0120042
-1,710,0.00541157
-1,450,0.0152113
1,870,0.00680436
1,1810,0.000400916
-1,450,0.00932358
1,3090,0.000749479
-1,1650,0.00271609
1,320,0.0120023
-1,800,0.00526267
1,610,0.00968909
-1,2140,0.000888062
1,930,0.00490211
1,1980,0.00202468
-1,560,0.00525552
-1,1580,0.000814593
1,620,0.00540118
-1,1420,0.00168798
1,710,0.0102828
1,630,0.00541313
-1,450,0.00932358
-1,1090,0.00437233
1,730,0.0098024
1,600,0.00536745
-1,1640,0.00274024
-1,970,0.00213874
1,1110,0.00430485
-1,850,0.0075826
-1,510,0.0147353
-1,5440,0.000142341
1,420,0.00422713
1,310,0.0114323
-1,2150,0.00173919
-1,2760,0.000304664
-1,770,0.00887417
1,980,0.00628275
1,910,0.00697109
-1,3180,0.000573771
-1,880,0.00727535
-1,690,0.00542612
-1,440,0.015201
1,2150,0.000872873
1,1230,0.00188182
1,1180,0.00276141
-1,7950,9.63827e-06
-1,580,0.00980785
-1,550,0.00985876
-1,2340,0.000628927
1,670,0.000651235
1,320,8.89541e-05
-1,760,0.0084947
-1,720,0.0100415
1,730,0.0098024
1,570,0.0136403
1,780,0.0082963
1,550,0.0140516
1,1030,0.00457471
1,790,0.00842968
1,700,0.00905378
-1,380,0.0143957
-1,3070,0.000614051
1,660,0.0115112
1,370,0.0141169
1,1370,0.00347035
-1,1030,0.00581622
-1,1640,0.00210018
-1,1310,0.00365299
1,1820,0.00233536
1,1150,0.00196451
1,2920,0.000673576
-1,800,0.00809445
-1,320,0.0120023
-1,950,0.00215572
1,760,0.00910158
