choice,RT,p
-1,1160,0.00118603
1,1640,0.00169893
-1,3630,0.00027648
-1,1300,0.00620624
1,890,0.0144275
1,840,0.0131777
-1,650,0.00512007
1,820,0.0138484
-1,650,0.00688824
1,1660,0.00404185
-1,1830,0.00163871
1,720,0.0135237
-1,2360,0.000639382
-1,580,0.00400427
-1,480,0.00191632
1,830,0.00507547
-1,1230,0.00511644
-1,450,0.00768886
-1,500,0.00523132
-1,1330,0.00352563
1,810,0.00555059
1,350,0.000475316
1,3280,0.00114901
1,930,0.00494788
1,610,0.00114961
-1,1490,0.00420047
1,1500,0.00414809
-1,2710,0.000476975
1,1220,0.00821257
1,700,0.000962584
-1,1910,0.00253037
-1,1240,0.00646524
1,1720,0.00279596
-1,600,0.00889003
-1,2900,0.000914485
1,1040,0.010271
1,1630,0.00618376
-1,920,0.00575734
1,1510,0.00102867
-1,810,0.00242671
-1,2350,0.000590314
-1,870,0.00610714
-1,1090,0.00118792
-1,2300,0.000912721
1,840,0.00338073
1,1080,0.012041
1,1160,0.0070728
1,590,0.00894415
-1,1890,0.00218892
1,800,0.0115527
-1,1250,0.000253718
1,3540,0.000458953
-1,1310,0.00650369
-1,770,0.00636052
-1,4680,7.23844e-05
1,1300,0.00223289
1,2810,0.00102718
1,2580,0.00139819
-1,1540,0.00186969
1,1190,0.00860419
-1,910,0.00850649
-1,1270,0.00620559
-1,1420,0.00261027
1,1720,0.00599758
-1,1360,0.00282926
-1,2440,0.0015532
-1,1430,0.00240074
1,820,0.00167842
1,3160,0.00128133
-1,590,0.00680347
-1,1440,0.00144957
-1,1360,0.00223699
1,550,0.00096941
1,780,0.00235297
-1,1570,0.00446442
-1,3770,0.000474874
1,2260,0.000402383
1,610,0.00731222
-1,690,0.00704755
1,1610,0.00260356
1,820,0.00187198
-1,640,0.00688484
-1,4390,0.000169159
-1,3770,0.000141522
-1,3080,0.000245025
-1,670,0.00215371
1,1460,0.00558768
-1,1190,0.00818213
-1,420,0.000659767
-1,2160,0.00272373
-1,780,0.000832996
1,560,0.00718799
1,760,0.0146562
-1,890,0.00397315
-1,630,0.00387396
-1,1360,0.000227779
1,750,0.0124892
-1,1510,0.00231767
1,1440,0.00500967
1,470,0.012185
-1,1670,0.00208667
1,800,0.00361956
-1,230,0.000447417
-1,1530,0.00268725
1,730,0.00845473
-1,950,0.00122537
-1,460,0.00184523
1,5130,3.23722e-05
-1,1970,0.00185327
1,970,0.0105812
1,1280,0.0086608
1,750,0.00981071
-1,2060,0.00281407
-1,2910,0.00127646
1,1480,0.000393907
1,2140,0.0013809
1,440,0.00979681
1,7290,5.72536e-05
1,870,0.00748153
1,1470,0.00148043
1,800,0.00974619
1,760,0.0154416
-1,300,0.00185693
-1,540,0.00195992
-1,1070,0.00313007
-1,880,0.00244616
-1,1830,0.00179099
1,510,0.0141346
-1,3220,0.000490838
-1,3440,0.000391705
1,770,0.0101025
