trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
99,1,2970,3,6,1,320
99,1,2970,3,6,0,90
99,1,2970,3,6,2,310
99,1,2970,3,6,0,50
99,1,2970,3,6,1,1940
100,1,1420,3,6,0,250
100,1,1420,3,6,2,320
100,1,1420,3,6,0,80
100,1,1420,3,6,1,570
100,1,1420,3,6,0,70
100,1,1420,3,6,2,130
101,1,870,3,6,0,210
101,1,870,3,6,1,170
101,1,870,3,6,0,70
101,1,870,3,6,2,420
102,1,550,3,3,0,220
102,1,550,3,3,1,210
102,1,550,3,3,0,80
102,1,550,3,3,2,40
103,-1,720,3,2,0,200
103,-1,720,3,2,2,250
103,-1,720,3,2,0,70
103,-1,720,3,2,1,200
104,1,1260,3,2,0,330
104,1,1260,3,2,1,150
104,1,1260,3,2,0,70
104,1,1260,3,2,2,310
104,1,1260,3,2,0,200
104,1,1260,3,2,1,200
105,1,1360,3,6,0,190
105,1,1360,3,6,2,180
105,1,1360,3,6,0,60
105,1,1360,3,6,1,550
105,1,1360,3,6,0,80
105,1,1360,3,6,2,300
106,-1,4640,3,4,0,260
106,-1,4640,3,4,2,260
106,-1,4640,3,4,0,70
106,-1,4640,3,4,1,560
106,-1,4640,3,4,0,70
106,-1,4640,3,4,2,1700
106,-1,4640,3,4,0,80
106,-1,4640,3,4,1,970
106,-1,4640,3,4,0,80
106,-1,4640,3,4,2,470
106,-1,4640,3,4,0,120
107,-1,1320,3,5,0,330
107,-1,1320,3,5,1,240
107,-1,1320,3,5,0,70
107,-1,1320,3,5,2,320
107,-1,1320,3,5,0,60
107,-1,1320,3,5,1,300
108,1,410,3,4,0,180
108,1,410,3,4,2,230
109,-1,2740,3,0,0,210
109,-1,2740,3,0,1,430
109,-1,2740,3,0,0,230
109,-1,2740,3,0,2,490
109,-1,2740,3,0,0,70
109,-1,2740,3,0,1,530
109,-1,2740,3,0,0,70
109,-1,2740,3,0,2,220
109,-1,2740,3,0,0,60
109,-1,2740,3,0,1,430
110,-1,1720,3,0,0,240
110,-1,1720,3,0,1,350
110,-1,1720,3,0,0,90
110,-1,1720,3,0,2,370
110,-1,1720,3,0,0,80
110,-1,1720,3,0,1,590
111,1,830,3,5,0,220
111,1,830,3,5,2,610
112,1,710,3,5,0,270
112,1,710,3,5,2,440
113,-1,3630,3,3,0,230
113,-1,3630,3,3,1,260
113,-1,3630,3,3,0,50
113,-1,3630,3,3,2,1590
113,-1,3630,3,3,0,80
113,-1,3630,3,3,1,550
113,-1,3630,3,3,0,90
113,-1,3630,3,3,2,330
113,-1,3630,3,3,0,170
113,-1,3630,3,3,1,280
114,1,570,3,4,0,260
114,1,570,3,4,2,310
115,-1,780,3,1,0,250
115,-1,780,3,1,1,190
115,-1,780,3,1,0,80
115,-1,780,3,1,2,260
116,1,2490,3,5,0,330
116,1,2490,3,5,1,280
116,1,2490,3,5,0,70
116,1,2490,3,5,2,510
116,1,2490,3,5,0,70
116,1,2490,3,5,1,580
116,1,2490,3,5,0,70
116,1,2490,3,5,2,460
116,1,2490,3,5,0,120
117,-1,1300,3,0,0,230
117,-1,1300,3,0,1,320
117,-1,1300,3,0,0,80
117,-1,1300,3,0,2,380
117,-1,1300,3,0,0,80
117,-1,1300,3,0,1,210
118,1,1940,3,3,0,220
118,1,1940,3,3,2,410
118,1,1940,3,3,0,80
118,1,1940,3,3,1,350
118,1,1940,3,3,0,80
118,1,1940,3,3,2,760
118,1,1940,3,3,0,40
119,-1,1790,3,4,0,300
119,-1,1790,3,4,1,180
119,-1,1790,3,4,0,80
119,-1,1790,3,4,2,350
119,-1,1790,3,4,0,70
119,-1,1790,3,4,1,810
120,-1,1280,3,1,0,210
120,-1,1280,3,1,1,360
120,-1,1280,3,1,0,80
120,-1,1280,3,1,2,290
120,-1,1280,3,1,0,70
120,-1,1280,3,1,1,270
121,-1,1210,3,1,0,250
121,-1,1210,3,1,1,150
121,-1,1210,3,1,0,70
121,-1,1210,3,1,2,280
121,-1,1210,3,1,0,70
121,-1,1210,3,1,1,390
122,-1,470,3,3,0,260
122,-1,470,3,3,1,210
123,1,1020,3,6,0,240
123,1,1020,3,6,1,220
123,1,1020,3,6,0,80
123,1,1020,3,6,2,240
123,1,1020,3,6,0,90
123,1,1020,3,6,1,150
124,-1,1720,3,5,0,310
124,-1,1720,3,5,1,380
124,-1,1720,3,5,0,70
124,-1,1720,3,5,2,390
124,-1,1720,3,5,0,90
124,-1,1720,3,5,1,480
125,-1,1130,3,2,0,250
125,-1,1130,3,2,1,190
125,-1,1130,3,2,0,100
125,-1,1130,3,2,2,350
125,-1,1130,3,2,0,70
125,-1,1130,3,2,1,170
126,1,2560,3,5,0,250
126,1,2560,3,5,1,440
126,1,2560,3,5,0,60
126,1,2560,3,5,2,280
126,1,2560,3,5,0,70
126,1,2560,3,5,1,1050
126,1,2560,3,5,0,70
126,1,2560,3,5,2,340
127,-1,560,3,5,0,280
127,-1,560,3,5,1,230
127,-1,560,3,5,0,50
128,1,830,3,4,0,200
128,1,830,3,4,1,260
128,1,830,3,4,0,60
128,1,830,3,4,2,310
129,-1,2760,3,2,0,200
129,-1,2760,3,2,1,270
129,-1,2760,3,2,0,70
129,-1,2760,3,2,2,690
129,-1,2760,3,2,0,80
129,-1,2760,3,2,1,580
129,-1,2760,3,2,0,80
129,-1,2760,3,2,2,250
129,-1,2760,3,2,0,70
129,-1,2760,3,2,1,470
130,-1,4810,3,2,0,280
130,-1,4810,3,2,1,250
130,-1,4810,3,2,0,140
130,-1,4810,3,2,2,370
130,-1,4810,3,2,0,80
130,-1,4810,3,2,1,630
130,-1,4810,3,2,0,80
130,-1,4810,3,2,2,600
130,-1,4810,3,2,0,70
130,-1,4810,3,2,1,350
130,-1,4810,3,2,0,80
130,-1,4810,3,2,2,530
130,-1,4810,3,2,0,750
130,-1,4810,3,2,1,600
131,-1,940,3,2,0,240
131,-1,940,3,2,2,320
131,-1,940,3,2,0,70
131,-1,940,3,2,1,310
132,1,1570,3,6,0,460
132,1,1570,3,6,1,800
132,1,1570,3,6,0,130
132,1,1570,3,6,2,180
133,1,690,3,6,0,210
133,1,690,3,6,2,240
133,1,690,3,6,0,70
133,1,690,3,6,1,170
134,-1,890,3,5,0,240
134,-1,890,3,5,1,320
134,-1,890,3,5,0,330
135,1,750,3,5,0,230
135,1,750,3,5,2,210
135,1,750,3,5,0,90
135,1,750,3,5,1,220
136,1,840,3,1,0,250
136,1,840,3,1,1,190
136,1,840,3,1,0,50
136,1,840,3,1,2,350
